name,latitude,longitude,type
105 TOWNER RD,1.320813043,103.8613467,HDB Property
105 WOODLANDS ST 13,1.436844762,103.7815791,HDB Property
105 YISHUN RING RD,1.431718367,103.8281143,HDB Property
105A BIDADARI PK DR,1.334006992,103.8704306,HDB Property
105A DEPOT RD,1.281071165,103.8114057,HDB Property
105A EDGEFIELD PLAINS,1.396941332,103.9057295,HDB Property
105A JLN BT MERAH,1.280661187,103.8242584,HDB Property
105B BIDADARI PK DR,1.333474039,103.8704904,HDB Property
105B DEPOT RD,1.281108068,103.811133,HDB Property
105B EDGEFIELD PLAINS,1.397206464,103.9060023,HDB Property
105C EDGEFIELD PLAINS,1.397672035,103.9055988,HDB Property
105D EDGEFIELD PLAINS,1.397175309,103.9052296,HDB Property
106 ALJUNIED CRES,1.31905495,103.8829009,HDB Property
106 ANG MO KIO AVE 4,1.371933703,103.8374861,HDB Property
106 BEDOK NTH AVE 4,1.33445895,103.9370871,HDB Property
106 BEDOK RESERVOIR RD,1.329501522,103.9093817,HDB Property
106 BIDADARI PK DR,1.333699478,103.8707961,HDB Property
106 BISHAN ST 12,1.346100701,103.8478472,HDB Property
106 BT PURMEI RD,1.27298937,103.8256268,HDB Property
106 BT BATOK CTRL,1.348222309,103.7471885,HDB Property
106 C'WEALTH CRES,1.308226033,103.7995913,HDB Property
106 CANBERRA ST,1.449138432,103.8327734,HDB Property
106 CLEMENTI ST 12,1.321914673,103.7698152,HDB Property
106 GANGSA RD,1.377902,103.7674123,HDB Property
106 HENDERSON CRES,1.289426079,103.8222768,HDB Property
106 HOUGANG AVE 1,1.353702971,103.8906808,HDB Property
106 JLN BT MERAH,1.280242587,103.8245236,HDB Property
106 JLN RAJAH,1.328476558,103.8546989,HDB Property
106 JLN DUSUN,1.328557712,103.8447968,HDB Property
106 JURONG EAST ST 13,1.337249651,103.7376747,HDB Property
106 LENGKONG TIGA,1.325088459,103.9100088,HDB Property
106 LOR 1 TOA PAYOH,1.340421956,103.848185,HDB Property
106 PASIR RIS ST 12,1.36801255,103.9576531,HDB Property
106 POTONG PASIR AVE 1,1.334100336,103.8681713,HDB Property
106 PUNGGOL FIELD,1.396391853,103.9082918,HDB Property
106 RIVERVALE WALK,1.382497292,103.9003213,HDB Property
106 SERANGOON NTH AVE 1,1.370244621,103.870823,HDB Property
106 SIMEI ST 1,1.341885217,103.9508335,HDB Property
106 SPOTTISWOODE PK RD,1.273566738,103.8340582,HDB Property
106 TAMPINES ST 11,1.347539192,103.9476754,HDB Property
106 TECK WHYE LANE,1.377957988,103.7529316,HDB Property
106 TOWNER RD,1.32102001,103.8609978,HDB Property
106 WOODLANDS ST 13,1.436769434,103.7822242,HDB Property
106 YISHUN RING RD,1.431478614,103.827452,HDB Property
106A BIDADARI PK DR,1.334139,103.8712597,HDB Property
106A CANBERRA ST,1.448503352,103.8331004,HDB Property
106A DEPOT RD,1.28061365,103.8109679,HDB Property
106A HENDERSON CRES,1.288993356,103.8223452,HDB Property
106A LOR 1 TOA PAYOH,1.340578954,103.8479348,HDB Property
106A PUNGGOL FIELD,1.396604861,103.9083441,HDB Property
106B BIDADARI PK DR,1.333642111,103.8711648,HDB Property
106B CANBERRA ST,1.448038852,103.8332289,HDB Property
106B DEPOT RD,1.280649504,103.8107509,HDB Property
106B PUNGGOL FIELD,1.397094532,103.9079554,HDB Property
106C PUNGGOL FIELD,1.397366642,103.9075622,HDB Property
106D PUNGGOL FIELD,1.397626067,103.9073581,HDB Property
107 ALJUNIED CRES,1.318964653,103.8842872,HDB Property
107 ANG MO KIO AVE 4,1.371384001,103.8373814,HDB Property
107 BEDOK RESERVOIR RD,1.329870289,103.9092204,HDB Property
107 BEDOK NTH RD,1.332317407,103.9363013,HDB Property
107 BISHAN ST 12,1.346417614,103.8479207,HDB Property
107 BIDADARI PK DR,1.3345422,103.8722294,HDB Property
107 BT BATOK WEST AVE 6,1.347810885,103.7466088,HDB Property
107 BT PURMEI RD,1.273101655,103.8245086,HDB Property
107 C'WEALTH CRES,1.307862447,103.7993123,HDB Property
107 CANBERRA ST,1.449676077,103.8328082,HDB Property
107 CLEMENTI ST 12,1.322254751,103.7699607,HDB Property
107 GANGSA RD,1.377984697,103.7667147,HDB Property
107 HOUGANG AVE 1,1.353434191,103.8906697,HDB Property
107 JLN BT MERAH,1.279836902,103.8247578,HDB Property
107 JLN RAJAH,1.327853327,103.8549937,HDB Property
107 JURONG EAST ST 13,1.337786345,103.7381319,HDB Property
107 LENGKONG TIGA,1.324954599,103.9101751,HDB Property
107 LOR 1 TOA PAYOH,1.341219489,103.8472888,HDB Property
107 PASIR RIS ST 12,1.367509667,103.9575189,HDB Property
107 POTONG PASIR AVE 1,1.334709369,103.8684132,HDB Property
107 PUNGGOL FIELD,1.396934565,103.9077067,HDB Property
107 RIVERVALE WALK,1.383005013,103.9002725,HDB Property
107 SERANGOON NTH AVE 1,1.369900397,103.8702249,HDB Property
107 SIMEI ST 1,1.34216114,103.9504899,HDB Property
107 SPOTTISWOODE PK RD,1.273594959,103.8349179,HDB Property
107 TAMPINES ST 11,1.348364218,103.9481587,HDB Property
107 TECK WHYE LANE,1.378055381,103.7535882,HDB Property
107 TOWNER RD,1.319795086,103.8604358,HDB Property
107 WOODLANDS ST 13,1.437298432,103.7822271,HDB Property
107 YISHUN RING RD,1.432218081,103.8275202,HDB Property
107A BIDADARI PK DR,1.334779768,103.8723991,HDB Property
107A C'WEALTH CRES,1.307946918,103.7996441,HDB Property
107A CANBERRA ST,1.449904746,103.8329792,HDB Property
107A CLEMENTI ST 12,1.322125918,103.7700694,HDB Property
107A EDGEFIELD PLAINS,1.397198794,103.9068258,HDB Property
107A JLN BT MERAH,1.279865976,103.8255259,HDB Property
107A RIVERVALE WALK,1.383211335,103.9000837,HDB Property
107B BIDADARI PK DR,1.334371552,103.8721172,HDB Property
107B CANBERRA ST,1.449165163,103.8334973,HDB Property
107B EDGEFIELD PLAINS,1.396837235,103.9072482,HDB Property
107C CANBERRA ST,1.448557823,103.8338648,HDB Property
107C EDGEFIELD PLAINS,1.396621521,103.9076007,HDB Property
107D EDGEFIELD PLAINS,1.396238035,103.9080073,HDB Property
108 ALJUNIED CRES,1.319175152,103.8853216,HDB Property
108 ANG MO KIO AVE 4,1.370966352,103.8382019,HDB Property
108 BEDOK RESERVOIR RD,1.33023193,103.909387,HDB Property
108 BEDOK NTH RD,1.332740092,103.9362235,HDB Property
108 BISHAN ST 12,1.346714989,103.8473984,HDB Property
108 BT PURMEI RD,1.273357314,103.8253458,HDB Property
108 BT BATOK WEST AVE 6,1.347443853,103.7465021,HDB Property
108 C'WEALTH CRES,1.30754732,103.7990886,HDB Property
108 CANBERRA WALK,1.447766114,103.832223,HDB Property
108 CLEMENTI ST 11,1.322123929,103.7702659,HDB Property
108 DEPOT RD,1.280966807,103.8102982,HDB Property
108 GANGSA RD,1.377596852,103.7672272,HDB Property
108 HOUGANG AVE 1,1.352773933,103.8900932,HDB Property
108 JLN BT MERAH,1.279220088,103.8254414,HDB Property
108 JLN RAJAH,1.328389357,103.8557509,HDB Property
108 JURONG EAST ST 13,1.338283031,103.7371021,HDB Property
108 LENGKONG TIGA,1.32456371,103.910131,HDB Property
108 LOR 1 TOA PAYOH,1.341552529,103.8472951,HDB Property
108 MCNAIR RD,1.321619038,103.8593827,HDB Property
108 PASIR RIS ST 12,1.367478779,103.9570177,HDB Property
108 POTONG PASIR AVE 1,1.334720043,103.8679284,HDB Property
108 PUNGGOL FIELD,1.396498616,103.9088663,HDB Property
108 RIVERVALE WALK,1.382811686,103.8997829,HDB Property
108 SERANGOON NTH AVE 1,1.369901403,103.8712068,HDB Property
108 SIMEI ST 1,1.343019541,103.9510074,HDB Property
108 SPOTTISWOODE PK RD,1.273942277,103.8356593,HDB Property
108 TAMPINES ST 11,1.347866464,103.9485616,HDB Property
108 TECK WHYE LANE,1.378324137,103.7529508,HDB Property
108 WOODLANDS ST 13,1.437219087,103.7815768,HDB Property
108 YISHUN RING RD,1.432323551,103.829072,HDB Property
108A BIDADARI PK DR,1.334354873,103.8716868,HDB Property
108A CLEMENTI ST 11,1.322258385,103.7701466,HDB Property
108A CANBERRA WALK,1.447760566,103.8312747,HDB Property
108A DEPOT RD,1.280864939,103.8101426,HDB Property
108A MCNAIR RD,1.320554197,103.8594077,HDB Property
108A PASIR RIS ST 12,1.367972957,103.9570169,HDB Property
108B BIDADARI PK DR,1.333672084,103.8720107,HDB Property
108B CANBERRA WALK,1.448189517,103.8318569,HDB Property
108B MCNAIR RD,1.319981244,103.8590051,HDB Property
108C CANBERRA WALK,1.447353301,103.8317962,HDB Property
108C MCNAIR RD,1.319844175,103.8594625,HDB Property
108D CANBERRA WALK,1.447771937,103.8319071,HDB Property
109 ALJUNIED CRES,1.319392918,103.8844399,HDB Property
109 ANG MO KIO AVE 4,1.370096538,103.8376878,HDB Property
109 BEDOK NTH RD,1.33205316,103.9349351,HDB Property
109 BEDOK RESERVOIR RD,1.329631366,103.9099022,HDB Property
109 BIDADARI PK DR,1.334231772,103.8725749,HDB Property
109 BISHAN ST 12,1.346750596,103.8479902,HDB Property
109 BT BATOK WEST AVE 6,1.347003767,103.7461704,HDB Property
109 BT PURMEI RD,1.273929399,103.8253108,HDB Property
109 C'WEALTH CRES,1.307249431,103.7989383,HDB Property
109 CANBERRA WALK,1.448617678,103.8297306,HDB Property
109 CLEMENTI ST 11,1.321891018,103.7705953,HDB Property
109 GANGSA RD,1.377367365,103.7677488,HDB Property
109 HOUGANG AVE 1,1.355328589,103.8893763,HDB Property
109 JLN BT MERAH,1.279426714,103.8260869,HDB Property
109 JURONG EAST ST 13,1.338361705,103.7359112,HDB Property
109 LENGKONG TIGA,1.324580762,103.9106975,HDB Property
109 LOR 1 TOA PAYOH,1.341237271,103.8462025,HDB Property
109 MCNAIR RD,1.321420379,103.8591003,HDB Property
109 PASIR RIS ST 11,1.36846368,103.9560091,HDB Property
109 POTONG PASIR AVE 1,1.334863952,103.8674116,HDB Property
